feature,chi2,p,n_target,n_reference,significant,fdr_p,fdr_significant,favors
particular,-10.991,9.16e-4,5,17,TRUE,0.04413793665158371,TRUE,Ireland
treatment,-10.991,9.16e-4,5,17,TRUE,0.04413793665158371,TRUE,Ireland
called,10.962,0.00093000000000000005,39,9,TRUE,0.04461067567567568,TRUE,USA
administration,10.799,0.001015,24,3,TRUE,0.04825033628318584,TRUE,USA
american,10.799,0.001015,24,3,TRUE,0.04825033628318584,TRUE,USA
ethical,-10.783,0.001024,2,12,TRUE,0.04825033628318584,TRUE,Ireland
transparency,-10.783,0.001024,2,12,TRUE,0.04825033628318584,TRUE,Ireland
doctors,-10.738,0.00105,8,21,TRUE,0.04913485964912281,TRUE,Ireland
health,-10.733,0.001052,16,31,TRUE,0.04913485964912281,TRUE,Ireland
board,10.709,0.001066,18,1,TRUE,0.049571327510917036,TRUE,USA
founded,10.676,0.001085,21,2,TRUE,0.04980243534482759,TRUE,USA
matter,10.676,0.001085,21,2,TRUE,0.04980243534482759,TRUE,USA
plants,10.676,0.001085,21,2,TRUE,0.04980243534482759,TRUE,USA
computing,10.651,0.0011,29,5,TRUE,0.05027424892703863,FALSE,USA
critical,-10.481,0.001206,6,18,TRUE,0.05464976170212766,FALSE,Ireland
issue,-10.481,0.001206,6,18,TRUE,0.05464976170212766,FALSE,Ireland
means,-10.401,0.001259,9,22,TRUE,0.056809707627118636,FALSE,Ireland
became,10.354,0.001292,26,4,TRUE,0.05805277637130801,FALSE,USA
akido,10.289,0.001339,14,0,TRUE,0.05916602074688797,FALSE,USA
breakthrough,10.289,0.001339,14,0,TRUE,0.05916602074688797,FALSE,USA
photograph,10.289,0.001339,14,0,TRUE,0.05916602074688797,FALSE,USA
talks,10.289,0.001339,14,0,TRUE,0.05916602074688797,FALSE,USA
last,10.159,0.001436,89,35,TRUE,0.06318993388429753,FALSE,USA
released,10.117,0.001469,23,3,TRUE,0.06433043442622952,FALSE,USA
place,-10.111,0.001474,10,23,TRUE,0.06433043442622952,FALSE,Ireland
gap,-10.056,0.001519,7,19,TRUE,0.0644718527131783,FALSE,Ireland
later,10.007,0.001559,28,5,TRUE,0.0644718527131783,FALSE,USA
agrees,-10.004,0.001562,0,9,TRUE,0.0644718527131783,FALSE,Ireland
analyse,-10.004,0.001562,0,9,TRUE,0.0644718527131783,FALSE,Ireland
animals,-10.004,0.001562,0,9,TRUE,0.0644718527131783,FALSE,Ireland
aspects,-10.004,0.001562,0,9,TRUE,0.0644718527131783,FALSE,Ireland
either,-10.004,0.001562,0,9,TRUE,0.0644718527131783,FALSE,Ireland
enhancing,-10.004,0.001562,0,9,TRUE,0.0644718527131783,FALSE,Ireland
female,-10.004,0.001562,0,9,TRUE,0.0644718527131783,FALSE,Ireland
highlights,-10.004,0.001562,0,9,TRUE,0.0644718527131783,FALSE,Ireland
idiro,-10.004,0.001562,0,9,TRUE,0.0644718527131783,FALSE,Ireland
operational,-10.004,0.001562,0,9,TRUE,0.0644718527131783,FALSE,Ireland
r,-10.004,0.001562,0,9,TRUE,0.0644718527131783,FALSE,Ireland
upskilling,-10.004,0.001562,0,9,TRUE,0.0644718527131783,FALSE,Ireland
deepseek's,9.986,0.001577,17,1,TRUE,0.06483966409266409,FALSE,USA
mobile,-9.917,0.001638,3,13,TRUE,0.06657657251908396,FALSE,Ireland
positive,-9.917,0.001638,3,13,TRUE,0.06657657251908396,FALSE,Ireland
target,-9.917,0.001638,3,13,TRUE,0.06657657251908396,FALSE,Ireland
ways,-9.851,0.001697,5,16,TRUE,0.06871236882129278,FALSE,Ireland
bill,9.554,0.001996,13,0,TRUE,0.07814486764705882,FALSE,USA
crypto,9.554,0.001996,13,0,TRUE,0.07814486764705882,FALSE,USA
databricks,9.554,0.001996,13,0,TRUE,0.07814486764705882,FALSE,USA
enlarge,9.554,0.001996,13,0,TRUE,0.07814486764705882,FALSE,USA
hired,9.554,0.001996,13,0,TRUE,0.07814486764705882,FALSE,USA
hoffman,9.554,0.001996,13,0,TRUE,0.07814486764705882,FALSE,USA
military,9.554,0.001996,13,0,TRUE,0.07814486764705882,FALSE,USA
rival,9.554,0.001996,13,0,TRUE,0.07814486764705882,FALSE,USA
texas,9.554,0.001996,13,0,TRUE,0.07814486764705882,FALSE,USA
use,-9.522,0.00203,99,111,TRUE,0.07897360583941605,FALSE,Ireland
questions,9.52,0.002032,32,7,TRUE,0.07897360583941605,FALSE,USA
capability,-9.512,0.002042,2,11,TRUE,0.07907366545454546,FALSE,Ireland
comes,-9.396,0.002175,9,21,TRUE,0.0836157942238267,FALSE,Ireland
improve,-9.396,0.002175,9,21,TRUE,0.0836157942238267,FALSE,Ireland
raise,9.369,0.002207,27,5,TRUE,0.08454080215827339,FALSE,USA
related,9.274,0.002325,19,2,TRUE,0.0885269181494662,FALSE,USA
comment,9.264,0.002336,16,1,TRUE,0.0885269181494662,FALSE,USA
entrepreneurs,9.264,0.002336,16,1,TRUE,0.0885269181494662,FALSE,USA
others,9.217,0.002398,36,9,TRUE,0.09055426241134752,FALSE,USA
model,9.133,0.002511,68,25,TRUE,0.09448635689045937,FALSE,USA
company's,9.039,0.002643,24,4,TRUE,0.09875546315789473,FALSE,USA
nuclear,9.039,0.002643,24,4,TRUE,0.09875546315789473,FALSE,USA
operations,-9.003,0.002695,7,18,TRUE,0.10034634615384615,FALSE,Ireland
executives,8.92,0.00282,31,7,TRUE,0.10463477351916377,FALSE,USA
alibaba,8.818,0.002982,12,0,TRUE,0.10728147972972973,FALSE,USA
ban,8.818,0.002982,12,0,TRUE,0.10728147972972973,FALSE,USA
crunchbase,8.818,0.002982,12,0,TRUE,0.10728147972972973,FALSE,USA
fraction,8.818,0.002982,12,0,TRUE,0.10728147972972973,FALSE,USA
intrator,8.818,0.002982,12,0,TRUE,0.10728147972972973,FALSE,USA
los,8.818,0.002982,12,0,TRUE,0.10728147972972973,FALSE,USA
nadella,8.818,0.002982,12,0,TRUE,0.10728147972972973,FALSE,USA
nonprofit,8.818,0.002982,12,0,TRUE,0.10728147972972973,FALSE,USA
vice,8.818,0.002982,12,0,TRUE,0.10728147972972973,FALSE,USA
carried,-8.728,0.003134,1,10,TRUE,0.10947978233438486,FALSE,Ireland
threats,-8.728,0.003134,1,10,TRUE,0.10947978233438486,FALSE,Ireland
types,-8.728,0.003134,1,10,TRUE,0.10947978233438486,FALSE,Ireland
employment,-8.709,0.003166,3,12,TRUE,0.10947978233438486,FALSE,Ireland
gains,-8.709,0.003166,3,12,TRUE,0.10947978233438486,FALSE,Ireland
greater,-8.709,0.003166,3,12,TRUE,0.10947978233438486,FALSE,Ireland
legislation,-8.709,0.003166,3,12,TRUE,0.10947978233438486,FALSE,Ireland
planning,-8.709,0.003166,3,12,TRUE,0.10947978233438486,FALSE,Ireland
aw,-8.657,0.003259,0,8,TRUE,0.10947978233438486,FALSE,Ireland
deloitte,-8.657,0.003259,0,8,TRUE,0.10947978233438486,FALSE,Ireland
dh,-8.657,0.003259,0,8,TRUE,0.10947978233438486,FALSE,Ireland
doesn’t,-8.657,0.003259,0,8,TRUE,0.10947978233438486,FALSE,Ireland
dommel,-8.657,0.003259,0,8,TRUE,0.10947978233438486,FALSE,Ireland
dtif,-8.657,0.003259,0,8,TRUE,0.10947978233438486,FALSE,Ireland
easy,-8.657,0.003259,0,8,TRUE,0.10947978233438486,FALSE,Ireland
essential,-8.657,0.003259,0,8,TRUE,0.10947978233438486,FALSE,Ireland
highlighted,-8.657,0.003259,0,8,TRUE,0.10947978233438486,FALSE,Ireland
micron,-8.657,0.003259,0,8,TRUE,0.10947978233438486,FALSE,Ireland
programmes,-8.657,0.003259,0,8,TRUE,0.10947978233438486,FALSE,Ireland
timlin,-8.657,0.003259,0,8,TRUE,0.10947978233438486,FALSE,Ireland
transaction,-8.657,0.003259,0,8,TRUE,0.10947978233438486,FALSE,Ireland
without,-8.613,0.003338,20,33,TRUE,0.11178101257861635,FALSE,Ireland
late,8.578,0.003403,18,2,TRUE,0.11360046081504703,FALSE,USA
giants,8.544,0.003466,15,1,TRUE,0.11498266043613707,FALSE,USA
sell,8.544,0.003466,15,1,TRUE,0.11498266043613707,FALSE,USA
analysis,-8.416,0.0037200000000000002,9,20,TRUE,0.12302571428571428,FALSE,Ireland
decision,-8.316,0.00393,6,16,TRUE,0.1295683281733746,FALSE,Ireland
elections,-8.255,0.004063,2,10,TRUE,0.1323146391437309,FALSE,Ireland
moving,-8.255,0.004063,2,10,TRUE,0.1323146391437309,FALSE,Ireland
multiple,-8.255,0.004063,2,10,TRUE,0.1323146391437309,FALSE,Ireland
output,-8.255,0.004063,2,10,TRUE,0.1323146391437309,FALSE,Ireland
ceo,8.192,0.004207,32,8,TRUE,0.13658641158536586,FALSE,USA
round,8.112,0.004398,25,5,TRUE,0.14230936363636365,FALSE,USA
successful,-8.107,0.00441,4,13,TRUE,0.14230936363636365,FALSE,Ireland
bigger,8.096,0.004436,20,3,TRUE,0.14271590332326284,FALSE,USA
important,-7.986,0.004715,18,30,TRUE,0.15123504518072287,FALSE,Ireland
senior,-7.976,0.00474,7,17,TRUE,0.15158036036036038,FALSE,Ireland
humanity,7.886,0.004983,17,2,TRUE,0.1583999014925373,FALSE,USA
program,7.886,0.004983,17,2,TRUE,0.1583999014925373,FALSE,USA
lead,-7.845,0.005095,20,32,TRUE,0.16147813988095236,FALSE,Ireland
app,7.749,0.005375,22,4,TRUE,0.16984681008902075,FALSE,USA
revenue,7.743,0.005391,29,7,TRUE,0.16984839940828403,FALSE,USA
ability,-7.696,0.005535,8,18,TRUE,0.17335945588235294,FALSE,Ireland
experience,-7.696,0.005535,8,18,TRUE,0.17335945588235294,FALSE,Ireland
seen,-7.684,0.005571,13,24,TRUE,0.17397530498533725,FALSE,Ireland
accuracy,-7.641,0.005705,5,14,TRUE,0.1755853901734104,FALSE,Ireland
increased,-7.641,0.005705,5,14,TRUE,0.1755853901734104,FALSE,Ireland
notes,-7.641,0.005705,5,14,TRUE,0.1755853901734104,FALSE,Ireland
overall,-7.641,0.005705,5,14,TRUE,0.1755853901734104,FALSE,Ireland
schools,-7.641,0.005705,5,14,TRUE,0.1755853901734104,FALSE,Ireland
adapt,-7.523,0.006091,3,11,TRUE,0.18585403724928368,FALSE,Ireland
industrial,-7.523,0.006091,3,11,TRUE,0.18585403724928368,FALSE,Ireland
performance,-7.523,0.006091,3,11,TRUE,0.18585403724928368,FALSE,Ireland
lab,7.494,0.00619,24,5,TRUE,0.18833517142857142,FALSE,USA
continuous,-7.45,0.006343,1,9,TRUE,0.18973766011235954,FALSE,Ireland
experiences,-7.45,0.006343,1,9,TRUE,0.18973766011235954,FALSE,Ireland
journey,-7.45,0.006343,1,9,TRUE,0.18973766011235954,FALSE,Ireland
professionals,-7.45,0.006343,1,9,TRUE,0.18973766011235954,FALSE,Ireland
