document,topic,gamma
text26,8,0.024193548387096774
text26,9,0.020161290322580645
text26,10,0.03225806451612903
text27,1,0.06397774687065369
text27,2,0.24478442280945759
text27,3,0.0584144645340751
text27,4,0.012517385257301807
text27,5,0.4172461752433936
text27,6,0.03894297635605007
text27,7,0.08344923504867872
text27,8,0.054242002781641166
text27,9,0.013908205841446454
text27,10,0.012517385257301807
text28,1,0.3004694835680751
text28,2,0.23943661971830985
text28,3,0.051643192488262914
text28,4,0.028169014084507043
text28,5,0.03051643192488263
text28,6,0.06572769953051644
text28,7,0.13849765258215962
text28,8,0.04460093896713615
text28,9,0.03990610328638498
text28,10,0.06103286384976526
text29,1,0.046153846153846156
text29,2,0.38461538461538464
text29,3,0.07692307692307693
text29,4,0.013461538461538462
text29,5,0.01730769230769231
text29,6,0.032692307692307694
text29,7,0.3423076923076923
text29,8,0.032692307692307694
text29,9,0.03461538461538462
text29,10,0.019230769230769232
text30,1,0.059233449477351915
text30,2,0.1602787456445993
text30,3,0.08362369337979095
text30,4,0.027874564459930314
text30,5,0.09407665505226481
text30,6,0.03832752613240418
text30,7,0.34494773519163763
text30,8,0.09059233449477352
text30,9,0.059233449477351915
text30,10,0.041811846689895474
text31,1,0.046511627906976744
text31,2,0.19186046511627908
text31,3,0.2926356589147287
text31,4,0.031007751937984496
text31,5,0.050387596899224806
text31,6,0.09496124031007752
text31,7,0.10465116279069768
text31,8,0.09883720930232558
text31,9,0.05426356589147287
text31,10,0.03488372093023256
text32,1,0.4799301919720768
text32,2,0.1343804537521815
text32,3,0.03664921465968586
text32,4,0.012216404886561954
text32,5,0.14485165794066318
text32,6,0.017452006980802792
text32,7,0.029668411867364748
text32,8,0.07329842931937172
text32,9,0.04013961605584642
text32,10,0.031413612565445025
text33,1,0.046857142857142854
text33,2,0.5588571428571428
text33,3,0.07085714285714285
text33,4,0.02057142857142857
text33,5,0.061714285714285715
text33,6,0.08457142857142858
text33,7,0.032
text33,8,0.07428571428571429
text33,9,0.017142857142857144
text33,10,0.03314285714285714
text34,1,0.033101045296167246
text34,2,0.5034843205574913
text34,3,0.1480836236933798
text34,4,0.01916376306620209
text34,5,0.08362369337979095
text34,6,0.041811846689895474
text34,7,0.04878048780487805
text34,8,0.05749128919860627
text34,9,0.047038327526132406
text34,10,0.017421602787456445
text35,1,0.0614406779661017
text35,2,0.5720338983050848
text35,3,0.05296610169491525
text35,4,0.014830508474576272
text35,5,0.023305084745762712
text35,6,0.0423728813559322
text35,7,0.10805084745762712
text35,8,0.07627118644067797
text35,9,0.023305084745762712
text35,10,0.025423728813559324
text36,1,0.039603960396039604
text36,2,0.6099009900990099
text36,3,0.033663366336633666
text36,4,0.015841584158415842
text36,5,0.03564356435643564
text36,6,0.06336633663366337
text36,7,0.06534653465346535
text36,8,0.041584158415841586
text36,9,0.055445544554455446
text36,10,0.039603960396039604
text37,1,0.05334394904458599
text37,2,0.6329617834394905
text37,3,0.01910828025477707
text37,4,0.010350318471337579
text37,5,0.03105095541401274
text37,6,0.030254777070063694
text37,7,0.11146496815286625
text37,8,0.059713375796178345
text37,9,0.019904458598726114
text37,10,0.03184713375796178
text38,1,0.06176961602671119
text38,2,0.4707846410684474
text38,3,0.08347245409015025
text38,4,0.02003338898163606
text38,5,0.05843071786310518
text38,6,0.038397328881469114
text38,7,0.1652754590984975
text38,8,0.03171953255425709
text38,9,0.04340567612687813
text38,10,0.02671118530884808
text39,1,0.06766917293233082
text39,2,0.06578947368421052
text39,3,0.03759398496240601
text39,4,0.03571428571428571
text39,5,0.2951127819548872
text39,6,0.041353383458646614
text39,7,0.2857142857142857
text39,8,0.08834586466165413
text39,9,0.05451127819548872
text39,10,0.02819548872180451
text40,1,0.18230088495575222
text40,2,0.49557522123893805
text40,3,0.02654867256637168
text40,4,0.01592920353982301
text40,5,0.047787610619469026
text40,6,0.047787610619469026
text40,7,0.09026548672566372
text40,8,0.047787610619469026
text40,9,0.019469026548672566
text40,10,0.02654867256637168
text41,1,0.05365853658536585
text41,2,0.5544715447154471
text41,3,0.16097560975609757
text41,4,0.01788617886178862
text41,5,0.04227642276422764
text41,6,0.030894308943089432
text41,7,0.061788617886178863
text41,8,0.016260162601626018
text41,9,0.014634146341463415
text41,10,0.04715447154471545
text42,1,0.018148820326678767
text42,2,0.6243194192377496
text42,3,0.0544464609800363
text42,4,0.016333938294010888
text42,5,0.056261343012704176
text42,6,0.010889292196007259
text42,7,0.12522686025408347
text42,8,0.038112522686025406
text42,9,0.018148820326678767
text42,10,0.038112522686025406
text43,1,0.07118055555555555
text43,2,0.3125
text43,3,0.06770833333333333
text43,4,0.017361111111111112
text43,5,0.059027777777777776
text43,6,0.05381944444444445
text43,7,0.3246527777777778
text43,8,0.024305555555555556
text43,9,0.034722222222222224
text43,10,0.034722222222222224
text44,1,0.03782894736842105
text44,2,0.555921052631579
text44,3,0.12664473684210525
text44,4,0.019736842105263157
text44,5,0.05921052631578947
text44,6,0.029605263157894735
text44,7,0.04276315789473684
text44,8,0.0756578947368421
text44,9,0.014802631578947368
text44,10,0.03782894736842105
text45,1,0.11009174311926606
text45,2,0.42568807339449544
text45,3,0.08623853211009175
text45,4,0.01651376146788991
text45,5,0.12844036697247707
text45,6,0.027522935779816515
text45,7,0.060550458715596334
text45,8,0.03302752293577982
text45,9,0.02018348623853211
text45,10,0.09174311926605505
text46,1,0.06531531531531531
text46,2,0.3738738738738739
text46,3,0.17117117117117117
text46,4,0.02252252252252252
text46,5,0.06756756756756757
text46,6,0.05855855855855856
text46,7,0.11936936936936937
text46,8,0.06306306306306306
text46,9,0.038288288288288286
text46,10,0.02027027027027027
text47,1,0.04181818181818182
text47,2,0.3236363636363636
text47,3,0.04727272727272727
text47,4,0.02727272727272727
